"","id","IV_rank","IV_closeness","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","g5sd1","dv1","dv2","dv3"
"59",59,"named","limited",34,"1","21","2","1","2","1","2","44710","Male","Moderately confident","Somewhat agree","Extremely"
"60",60,"asso","limited",45,"2","4","1","1","6","1","3","30189","Female","Not confident at all","Somewhat disagree","Moderately"
"61",61,"asso","limited",57,"2","3","1","1","6","7","1","06706","Female","Not confident at all","Strongly disagree","Somewhat"
"62",62,"named","limited",54,"2","1","1","1","2","2","3","31824","Female","Moderately confident","Somewhat agree","Very much"
"63",63,"named","close",22,"2","22","1","10","2","3","1","19023","Female","Moderately confident","Somewhat disagree","Somewhat"
"64",64,"named","limited",34,"1","7","2","1","5","1","3","22971","Male","Fully confident","Strongly agree","Completely"
"65",65,"asso","close",24,"2","1","15","16","2","3","3","33805","Female","Moderately confident","Somewhat confident","Slightly confident"
"66",66,"named","limited",36,"1","8","2","1","2","2","2","60620","Male","Not confident at all","Strongly disagree","Not at all"
"67",67,"named","close",76,"1","5","1","1","4","2","3","72653","Male","Moderately confident","Somewhat agree","Moderately"
"68",68,"named","close",32,"2","1","1","1","4","3","3","32148","Female","Moderately confident","Neutral","Moderately"
"69",69,"asso","close",36,"2","16","1","1","2","2","3","77651","Female","Fully confident","Fully confident","Fully confident"
"70",70,"asso","close",49,"2","19","1","1","2","2","3","27215","Female","Fully confident","Fully confident","Fully confident"
"71",71,"asso","close",62,"2","4","15","14","6","3","2","60620","Female","Moderately confident","Moderately confident","Moderately confident"
"72",72,"asso","limited",63,"2","1","2","1","7","1","2","48076","Female","Somewhat confident","Neutral","Somewhat"
"73",73,"asso","close",58,"2","16","1","1","8","1","3","32303","Female","Very confident","Fully confident","Extremely confident"
"74",74,"named","close",75,"2","19","1","1","6","3","2","55442","Female","Fully confident","Strongly agree","Completely"
"75",75,"named","limited",64,"2","4","1","1","4","3","3","33147","Female","Very confident","Somewhat agree","Moderately"
"76",76,"asso","close",27,"1","21","2","1","2","1","3","70460","Male","Extremely confident","Moderately confident","Moderately confident"
"77",77,"asso","close",28,"1","14","1","1","2","3","4","86401","Male","Extremely confident","Fully confident","Extremely confident"
"78",78,"named","limited",53,"2","21","1","1","6","2","3","32011","Female","Not confident at all","Somewhat disagree","A little"
"79",79,"named","limited",65,"2","21","1","1","7","1","1","10463","Female","Not confident at all","Disagree","A little"
"80",80,"asso","limited",31,"2","11","1","1","6","1","1","19335","Female","Very confident","Somewhat agree","Moderately"
"81",81,"named","limited",64,"1","1","1","1","6","2","2","53045","Male","Moderately confident","Strongly agree","Very much"
"82",82,"named","close",31,"1","5","2","1","2","1","3","29150","Male","Very confident","Agree","Completely"
"83",83,"named","limited",47,"2","4","1","1","1","4","4","85713","Female","Somewhat confident","Somewhat agree","Moderately"
"84",84,"named","close",32,"1","9","16","2","6","3","4","48228","Male","Moderately confident","Neutral","Very much"
"85",85,"asso","close",28,"2","19","1","1","2","3","2","48503","Female","Extremely confident","Very confident","Extremely confident"
"86",86,"named","limited",60,"2","5","1","1","2","2","1","16313","Female","Moderately confident","Strongly agree","Extremely"
"87",87,"named","limited",52,"2","4","2","1","3","1","2","44515","Female","Slightly confident","Neutral","Very much"
"88",88,"asso","close",72,"2","4","1","1","6","2","1","18328","Female","Slightly confident","Slightly confident","Slightly confident"
"89",89,"named","limited",58,"1","19","1","1","6","2","1","10304","Male","Very confident","Strongly agree","Very much"
"90",90,"asso","limited",32,"2","1","1","2","1","8","3","72176","Female","Moderately confident","Neutral","Somewhat"
"91",91,"named","close",68,"1","11","1","1","2","1","1","15629","Female","Very confident","Agree","Extremely"
"92",92,"named","limited",54,"2","2","1","1","5","3","1","08084","Female","Very confident","Strongly agree","Very much"
"93",93,"asso","close",49,"2","11","1","1","7","2","2","43082","Female","Slightly confident","Slightly confident","Slightly confident"
"94",94,"named","limited",60,"2","6","1","1","1","2","3","25514","Female","Very confident","Strongly agree","Extremely"
"95",95,"asso","close",62,"2","6","1","1","2","3","2","49677","Female","Somewhat confident","Somewhat confident","Somewhat confident"
"96",96,"asso","close",28,"1","9","2","1","2","1","3","30577","Male","Somewhat confident","Moderately confident","Moderately confident"
"97",97,"asso","limited",75,"2","16","1","1","2","1","1","14706","Female","Very confident","Somewhat agree","Moderately"
"98",98,"asso","close",45,"2","9","1","1","4","8","1","14618","Female","Somewhat confident","Moderately confident","Moderately confident"
"99",99,"asso","close",51,"2","1","2","1","8","1","1","12603","Female","Moderately confident","Very confident","Moderately confident"
"100",100,"asso","close",44,"1","14","1","1","6","3","2","60657","Male","Somewhat confident","Moderately confident","Somewhat confident"
"101",101,"named","close",77,"1","18","1","1","5","2","3","78628","Male","Somewhat confident","Somewhat disagree","Somewhat"
"102",102,"asso","limited",59,"2","15","1","1","5","2","1","07407","Female","Not confident at all","Disagree","Not at all"
"103",103,"asso","close",59,"2","7","1","1","6","2","3","39426","Female","Not confident at all","Not confident at all","Not confident at all"
"104",104,"asso","limited",51,"2","3","1","1","4","3","3","28399","Female","Slightly confident","Somewhat disagree","A little"
"105",105,"asso","close",33,"2","7","1","1","2","2","3","36022","Female","Moderately confident","Very confident","Very confident"
"106",106,"asso","limited",24,"1","20","1","1","6","3","1","11768","Male","Not confident at all","Neutral","A little"
"107",107,"named","limited",52,"2","1","2","1","2","1","4","80211","Female","Somewhat confident","Somewhat agree","Extremely"
"108",108,"named","close",30,"1","11","15","3","2","3","4","92084","Male","Moderately confident","Somewhat agree","Very much"
"109",109,"asso","close",69,"2","2","1","1","2","2","4","85323","Female","Fully confident","Fully confident","Fully confident"
"110",110,"named","limited",54,"2","1","16","14","-3105","4","3","34771","Female","Extremely confident","Strongly agree","Completely"
"111",111,"asso","close",43,"2","4","1","1","4","2","2","64068","Female","Extremely confident","Extremely confident","Extremely confident"
"112",112,"asso","limited",52,"1","6","2","1","2","1","3","23860","Female","Somewhat confident","Neutral","Moderately"
"113",113,"asso","limited",53,"1","17","1","1","2","3","3","78634","Male","Moderately confident","Somewhat agree","Very much"
"114",114,"named","close",73,"2","3","1","1","4","1","2","66043","Female","Moderately confident","Agree","Extremely"
"115",115,"asso","close",64,"2","4","1","1","4","2","2","54476","Female","Extremely confident","Extremely confident","Extremely confident"
"116",116,"named","close",25,"2","5","2","1","4","1","3","33162","Female","Moderately confident","Agree","Extremely"
"117",117,"named","close",42,"1","5","1","1","6","2","2","56085","Male","Slightly confident","Neutral","Moderately"
"118",118,"asso","close",71,"1","9","1","1","4","3","2","45740","Male","Somewhat confident","Slightly confident","Moderately confident"
"119",119,"asso","limited",45,"1","5","1","1","2","7","3","31823","Male","Not confident at all","Disagree","Not at all"
"120",120,"asso","limited",71,"2","9","1","1","4","1","1","45885","Female","Not confident at all","Neutral","Not at all"
"121",121,"asso","close",58,"2","3","1","1","4","1","3","30117","Female","Fully confident","Fully confident","Fully confident"
"122",122,"asso","close",59,"1","5","1","1","4","2","2","49806","Male","Very confident","Very confident","Extremely confident"
"123",123,"asso","limited",56,"1","14","1","1","4","2","2","60067","Male","Somewhat confident","Somewhat agree","Somewhat"
"124",124,"named","limited",58,"2","16","1","1","2","1","4","95354","Female","Slightly confident","Somewhat disagree","A little"
"125",125,"named","close",30,"1","15","1","1","7","1","1","11694","Male","Very confident","Neutral","Very much"
"126",126,"asso","limited",43,"2","2","2","1","4","1","3","33404","Female","Fully confident","Agree","Completely"
"127",127,"named","close",34,"2","7","2","1","4","3","1","19320","Female","Moderately confident","Agree","Moderately"
"128",128,"named","close",19,"2","3","1","2","2","6","3","75409","Female","Very confident","Somewhat agree","Very much"
"129",129,"asso","close",35,"1","5","2","1","6","1","3","21207","Male","Very confident","Moderately confident","Somewhat confident"
"130",130,"asso","limited",50,"2","18","1","1","6","3","3","34606","Female","Fully confident","Strongly agree","Very much"
"131",131,"named","close",56,"1","3","2","1","6","1","3","24540","Male","Very confident","Neutral","Very much"
"132",132,"asso","close",58,"2","2","1","1","2","4","1","02888","Female","Moderately confident","Moderately confident","Somewhat confident"
"133",133,"asso","limited",49,"2","3","1","1","5","3","3","31093","Female","Very confident","Somewhat agree","Moderately"
"134",134,"asso","limited",58,"1","24","1","1","6","2","3","20754","Male","Somewhat confident","Somewhat agree","Very much"
"135",135,"asso","limited",41,"2","3","1","1","4","1","3","23602","Female","Very confident","Agree","Extremely"
"136",136,"named","limited",56,"1","3","1","1","6","2","2","44706","Male","Somewhat confident","Somewhat agree","Somewhat"
"137",137,"asso","limited",59,"2","1","2","1","2","1","1","02860","Female","Not confident at all","Disagree","Not at all"
"138",138,"asso","close",72,"2","12","1","1","7","2","1","07727","Female","Fully confident","Fully confident","Fully confident"
"139",139,"named","limited",56,"2","20","1","1","6","2","2","63780","Female","Somewhat confident","Somewhat agree","A little"
"140",140,"named","limited",68,"2","19","1","1","7","2","2","44145","Female","Not confident at all","Disagree","A little"
"141",141,"asso","close",61,"2","14","1","1","8","3","2","46260","Female","Very confident","Very confident","Moderately confident"
"142",142,"named","close",75,"2","19","1","1","4","3","3","33770","Female","Very confident","Agree","Extremely"
"143",143,"named","close",38,"1","17","1","1","5","1","4","98201","Male","Not confident at all","Somewhat disagree","Moderately"
"144",144,"asso","limited",63,"2","6","1","1","6","2","3","37766","Female","Slightly confident","Neutral","Somewhat"
"145",145,"asso","limited",55,"1","4","1","1","4","2","2","51501","Male","Not confident at all","Neutral","Somewhat"
"146",146,"named","close",33,"2","6","3","1","2","7","3","27804","Female","Very confident","Somewhat agree","Very much"
"147",147,"named","limited",79,"1","19","1","1","6","5","2","44805","Female","Not confident at all","Strongly disagree","Not at all"
"148",148,"named","close",45,"2","9","1","1","6","3","3","74467","Female","Slightly confident","Somewhat disagree","A little"
"149",149,"named","close",64,"2","14","1","1","6","2","2","46055","Female","Very confident","Somewhat agree","Very much"
"150",150,"named","close",43,"2","1","3","2","1","8","2","66106","Female","Moderately confident","Somewhat agree","Very much"
"151",151,"asso","close",80,"2","3","1","1","8","2","2","46901","Male","Somewhat confident","Somewhat confident","Somewhat confident"
"152",152,"asso","close",75,"2","10","1","1","4","3","3","76549","Female","Slightly confident","Slightly confident","Slightly confident"
"153",153,"asso","limited",29,"1","21","1","1","6","2","4","98144","Male","Fully confident","Strongly agree","Completely"
"154",154,"named","close",31,"1","1","2","1","2","2","3","30260","Male","Fully confident","Strongly agree","Completely"
"155",155,"asso","close",80,"2","6","1","1","6","3","2","46733","Female","Very confident","Fully confident","Very confident"
"156",156,"named","close",61,"1","14","1","1","5","1","3","32824","Male","Not confident at all","Strongly disagree","Not at all"
"157",157,"asso","limited",46,"2","17","15","2","4","3","3","78253","Female","Slightly confident","Somewhat agree","Somewhat"
"158",158,"asso","limited",40,"1","1","3","14","4","7","1","10453","Female","Slightly confident","Somewhat agree","A little"
"159",159,"asso","close",70,"2","3","1","1","6","3","3","28104","Female","Extremely confident","Extremely confident","Extremely confident"
"160",160,"asso","close",69,"1","18","1","1","5","2","3","34604","Male","Not confident at all","Not confident at all","Not confident at all"
"161",161,"asso","limited",56,"1","9","2","1","4","7","3","23324","Male","Slightly confident","Somewhat agree","Somewhat"
"162",162,"named","limited",30,"1","17","1","3","2","1","1","18015","Male","Very confident","Strongly agree","Completely"
"163",163,"asso","limited",26,"2","20","1","1","8","1","2","60601","Female","Very confident","Agree","Very much"
"164",164,"named","limited",28,"1","19","2","1","6","8","3","30033","Male","Not confident at all","Neutral","A little"
"165",165,"named","limited",65,"2","14","1","1","4","1","2","55428","Female","Somewhat confident","Somewhat agree","Moderately"
"166",166,"named","close",76,"1","9","1","1","4","3","2","48117","Male","Fully confident","Strongly agree","Completely"
"167",167,"asso","limited",51,"2","1","1","1","5","2","3","30145","Female","Not confident at all","Somewhat disagree","Not at all"
"168",168,"asso","close",49,"2","10","1","1","6","1","4","95355","Female","Extremely confident","Extremely confident","Very confident"
"169",169,"asso","close",36,"1","23","7","2","8","3","3","70094","Male","Very confident","Moderately confident","Very confident"
"170",170,"named","limited",65,"2","2","2","1","4","1","3","33701","Female","Slightly confident","Somewhat agree","Very much"
"171",171,"asso","close",58,"1","9","1","1","2","2","1","08759","Male","Extremely confident","Very confident","Very confident"
"172",172,"named","close",61,"1","2","1","1","2","1","3","37762","Male","Fully confident","Strongly agree","Completely"
"173",173,"named","limited",24,"1","3","2","4","3","2","3","70058","Male","Slightly confident","Disagree","A little"
"174",174,"asso","limited",24,"1","7","2","1","2","3","3","32244","Male","Somewhat confident","Somewhat disagree","Moderately"
"175",175,"named","limited",42,"2","1","15","16","2","2","3","32809","Female","Fully confident","Strongly agree","Completely"
"176",176,"asso","limited",20,"2","3","2","1","2","3","2","44820","Female","Moderately confident","Neutral","Moderately"
"177",177,"asso","limited",65,"2","1","1","1","2","2","2","63125","Female","Slightly confident","Somewhat agree","Very much"
"178",178,"asso","limited",65,"1","2","2","1","4","1","2","43232","Male","Somewhat confident","Neutral","Moderately"
"179",179,"asso","limited",54,"1","21","2","1","8","1","3","75670","Male","Fully confident","Strongly agree","Completely"
"180",180,"asso","close",41,"1","14","1","1","2","2","1","07753","Male","Moderately confident","Very confident","Moderately confident"
"181",181,"asso","close",47,"2","8","15","16","2","1","1","06110","Female","Very confident","Very confident","Very confident"
"182",182,"named","limited",18,"2","1","1","1","1","6","2","68756","Female","Somewhat confident","Somewhat agree","Somewhat"
"183",183,"named","close",44,"2","1","1","1","2","1","3","33181","Female","Not confident at all","Somewhat disagree","Moderately"
"184",184,"named","limited",32,"2","20","1","1","5","2","1","11815","Male","Not confident at all","Strongly disagree","A little"
"185",185,"named","close",39,"1","13","1","1","2","5","1","04106","Male","Extremely confident","Somewhat agree","Moderately"
"186",186,"asso","limited",24,"2","17","2","1","4","1","3","20785","Female","Moderately confident","Somewhat disagree","Very much"
"187",187,"named","limited",70,"2","12","1","1","2","1","1","18302","Female","Moderately confident","Strongly agree","Extremely"
"188",188,"asso","close",18,"2","2","1","1","2","3","3","21801","Female","Extremely confident","Very confident","Moderately confident"
"189",189,"named","limited",64,"1","21","1","12","6","2","1","11787","Male","Very confident","Strongly agree","Very much"
"190",190,"named","close",49,"1","19","1","1","4","1","3","79118","Male","Very confident","Agree","Very much"
"191",191,"asso","close",66,"1","19","1","1","6","2","3","40245","Male","Very confident","Very confident","Very confident"
"192",192,"named","close",66,"1","6","1","1","2","3","3","33701","Male","Somewhat confident","Somewhat agree","Somewhat"
"193",193,"named","limited",63,"2","3","1","1","6","1","1","19602","Female","Slightly confident","Somewhat disagree","A little"
"194",194,"asso","close",51,"1","11","1","1","2","1","1","12306","Male","Fully confident","Extremely confident","Extremely confident"
"195",195,"asso","close",62,"1","4","2","1","3","7","1","11208","Male","Very confident","Extremely confident","Very confident"
"196",196,"asso","limited",40,"1","22","1","1","7","2","1","02492","Male","Very confident","Agree","Extremely"
"197",197,"named","limited",73,"2","23","1","1","6","2","4","95765","Female","Slightly confident","Somewhat agree","Somewhat"
"198",198,"named","limited",72,"1","6","1","1","6","1","4","98074","Male","Slightly confident","Disagree","A little"
"199",199,"asso","limited",50,"2","15","1","1","8","6","1","17815","Female","Somewhat confident","Somewhat disagree","A little"
"200",200,"named","limited",48,"1","13","1","1","5","1","3","30809","Male","Not confident at all","Somewhat disagree","Not at all"
"201",201,"named","close",67,"1","14","5","1","6","3","1","02155","Male","Somewhat confident","Somewhat agree","Very much"
"202",202,"named","limited",56,"1","2","1","1","7","2","3","70511","Male","Fully confident","Strongly agree","Extremely"
"203",203,"named","close",29,"1","12","2","1","5","3","1","17109","Female","Fully confident","Agree","Moderately"
"204",204,"named","limited",56,"2","16","1","1","6","3","3","21030","Female","Not confident at all","Strongly disagree","Not at all"
"205",205,"asso","close",53,"2","2","1","1","3","2","3","25510","Female","Fully confident","Fully confident","Extremely confident"
"206",206,"asso","close",46,"2","12","1","1","6","1","3","19904","Female","Moderately confident","Moderately confident","Moderately confident"
"207",207,"named","close",45,"1","9","1","1","5","3","2","46845","Male","Very confident","Agree","Very much"
"208",208,"named","close",70,"2","5","1","1","5","2","3","20639","Female","Moderately confident","Somewhat agree","Moderately"
"209",209,"named","close",62,"1","19","1","1","6","6","2","48362","Female","Extremely confident","Strongly agree","Extremely"
"210",210,"asso","limited",55,"2","3","1","1","4","1","2","48141","Female","Somewhat confident","Somewhat disagree","Moderately"
"211",211,"asso","limited",76,"1","13","1","1","7","2","1","7010","Male","Moderately confident","Neutral","Moderately"
"212",212,"named","close",56,"2","3","1","1","2","2","3","37821","Female","Somewhat confident","Neutral","Somewhat"
"213",213,"asso","close",67,"2","19","1","1","7","1","1","12553","Female","Very confident","Very confident","Very confident"
"214",214,"named","close",39,"1","3","2","14","1","3","1","16503","Male","Very confident","Agree","Very much"
"215",215,"asso","close",74,"1","9","1","1","6","3","2","50111","Male","Very confident","Very confident","Very confident"
"216",216,"named","limited",58,"2","1","2","1","4","3","3","38127","Female","Slightly confident","Somewhat agree","Somewhat"
"217",217,"named","close",32,"1","14","1","1","4","2","3","33127","Male","Extremely confident","Agree","Completely"
"218",218,"named","limited",67,"2","5","1","1","4","1","3","37033","Female","Somewhat confident","Somewhat agree","Moderately"
"219",219,"named","limited",44,"1","17","1","1","6","6","1","02108","Male","Extremely confident","Strongly agree","Extremely"
"220",220,"named","close",31,"1","9","1","1","6","2","3","23224","Male","Moderately confident","Neutral","Very much"
